step,loss,accuracy,top3_accuracy,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8
0,2.175441157023112,18.398994132439228,51.63453478625314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
10,2.168776273727417,18.398994132439228,64.12405699916178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20,2.162137645085653,18.398994132439228,67.01592623637887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
30,2.1554430103302002,18.398994132439228,67.56077116512992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
40,2.14857328414917,18.398994132439228,67.6026823134954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
50,2.132604777018229,47.90444258172674,69.44677284157586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.289293849658314,94.7144075021313
60,2.1278375975290933,48.78457669740151,72.00335289186924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.694760820045558,97.10144927536231
70,2.1224633852640786,49.32942162615256,74.64375523889355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.416856492027335,99.06223358908781
80,2.1177683671315513,49.24559932942162,76.0268231349539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.733485193621868,99.14748508098891
90,2.1125658893585206,49.16177703269069,76.44593461860855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45558086560364464,99.82949701619778
100,2.107899799346924,49.16177703269069,76.7393126571668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22779043280182232,99.9147485080989
